,loss_1_name,loss_2_name,loss_3_name,loss_4_name,loss_5_name,win_1_name,win_2_name,win_3_name,win_4_name,win_5_name
134,Sand King,Lone Druid,Crystal Maiden,Outworld Devourer,Shadow Shaman,Oracle,Doom,Windranger,Faceless Void,Venomancer
135,Jakiro,Earth Spirit,Puck,Anti-Mage,Beastmaster,Clockwerk,Bloodseeker,Oracle,Ember Spirit,Terrorblade
136,Windranger,Doom,Warlock,Anti-Mage,Pugna,Bloodseeker,Phoenix,Vengeful Spirit,Medusa,Beastmaster
137,Phoenix,Tiny,Jakiro,Axe,Sven,Enchantress,Earth Spirit,Invoker,Faceless Void,Abaddon
138,Tusk,Void Spirit,Shadow Demon,Lifestealer,Beastmaster,Clockwerk,Ember Spirit,Grimstroke,Underlord,Weaver
139,Jakiro,Slark,Earth Spirit,Death Prophet,Timbersaw,Tiny,Batrider,Oracle,Invoker,Phantom Lancer
140,Phoenix,Faceless Void,Oracle,Slardar,Queen of Pain,Dark Seer,Disruptor,Tiny,Anti-Mage,Dragon Knight
141,Shadow Demon,Tiny,Drow Ranger,Earth Spirit,Tidehunter,Puck,Dark Seer,Spirit Breaker,Faceless Void,Batrider
142,Faceless Void,Warlock,Magnus,Rubick,Jakiro,Phoenix,Dragon Knight,Bane,Templar Assassin,Ember Spirit
143,Earth Spirit,Venomancer,Oracle,Lifestealer,Viper,Rubick,Batrider,Spectre,Warlock,Enigma
144,Magnus,Juggernaut,Vengeful Spirit,Rubick,Zeus,Phoenix,Faceless Void,Jakiro,Dragon Knight,Nature's Prophet
145,Grimstroke,Magnus,Slark,Tiny,Windranger,Phoenix,Morphling,Bane,Sand King,Dragon Knight
146,Io,Batrider,Beastmaster,Anti-Mage,Lich,Undying,Slark,Disruptor,Lina,Magnus
147,Earth Spirit,Spectre,Oracle,Venomancer,Ember Spirit,Doom,Nature's Prophet,Undying,Morphling,Windranger
148,Oracle,Crystal Maiden,Pangolier,Ursa,Necrophos,Enchantress,Slark,Nyx Assassin,Centaur Warrunner,Lina
149,Keeper of the Light,Ember Spirit,Magnus,Lina,Phantom Assassin,Undying,Vengeful Spirit,Death Prophet,Faceless Void,Timbersaw
150,Snapfire,Magnus,Ogre Magi,Spectre,Rubick,Phoenix,Void Spirit,Treant Protector,Sven,Omniknight
151,Abaddon,Snapfire,Pangolier,Alchemist,Windranger,Phoenix,Doom,Grimstroke,Faceless Void,Tusk
152,Queen of Pain,Oracle,Huskar,Dark Seer,Centaur Warrunner,Spirit Breaker,Crystal Maiden,Chen,Warlock,Broodmother
153,Snapfire,Tusk,Pugna,Morphling,Witch Doctor,Rubick,Chen,Troll Warlord,Pangolier,Anti-Mage
154,Tiny,Silencer,Batrider,Storm Spirit,Morphling,Snapfire,Clockwerk,Monkey King,Oracle,Naga Siren
155,Clockwerk,Rubick,Slardar,Arc Warden,Ember Spirit,Treant Protector,Tiny,Faceless Void,Zeus,Phantom Lancer
156,Tiny,Morphling,Shadow Demon,Mirana,Monkey King,Clockwerk,Magnus,Skywrath Mage,Spectre,Pangolier
157,Phoenix,Bane,Axe,Dragon Knight,Clinkz,Mirana,Elder Titan,Tidehunter,Spectre,Storm Spirit
158,Snapfire,Wraith King,Queen of Pain,Shadow Shaman,Underlord,Phoenix,Doom,Ogre Magi,Dragon Knight,Nature's Prophet
159,Earth Spirit,Snapfire,Nature's Prophet,Venomancer,Morphling,Phoenix,Bane,Doom,Kunkka,Broodmother
160,Io,Gyrocopter,Shadow Demon,Kunkka,Timbersaw,Phoenix,Clockwerk,Elder Titan,Drow Ranger,Ember Spirit
161,Clinkz,Tusk,Lich,Dazzle,Phantom Assassin,Enchantress,Earthshaker,Slardar,Spectre,Mirana
162,Phoenix,Oracle,Anti-Mage,Dragon Knight,Lina,Earthshaker,Batrider,Puck,Slark,Troll Warlord
163,Earthshaker,Disruptor,Morphling,Centaur Warrunner,Gyrocopter,Clockwerk,Terrorblade,Rubick,Doom,Venomancer
164,Clockwerk,Snapfire,Visage,Dragon Knight,Slark,Earthshaker,Queen of Pain,Disruptor,Bristleback,Phantom Lancer
165,Phoenix,Mars,Venomancer,Anti-Mage,Ember Spirit,Snapfire,Ogre Magi,Faceless Void,Batrider,Invoker
166,Shadow Demon,Tiny,Earth Spirit,Morphling,Nature's Prophet,Void Spirit,Queen of Pain,Rubick,Enigma,Troll Warlord
167,Ember Spirit,Mirana,Keeper of the Light,Beastmaster,Nature's Prophet,Vengeful Spirit,Morphling,Puck,Earth Spirit,Kunkka
168,Nyx Assassin,Ember Spirit,Nature's Prophet,Warlock,Luna,Queen of Pain,Treant Protector,Earth Spirit,Visage,Ursa
169,Tusk,Nature's Prophet,Abaddon,Anti-Mage,Void Spirit,Earth Spirit,Batrider,Faceless Void,Zeus,Io
170,Treant Protector,Nature's Prophet,Snapfire,Axe,Leshrac,Doom,Elder Titan,Earth Spirit,Ember Spirit,Troll Warlord
171,Tusk,Underlord,Ogre Magi,Gyrocopter,Zeus,Doom,Mirana,Oracle,Drow Ranger,Mars
172,Mirana,Elder Titan,Lifestealer,Legion Commander,Death Prophet,Phoenix,Tiny,Beastmaster,Templar Assassin,Weaver
173,Io,Tiny,Underlord,Spectre,Void Spirit,Bloodseeker,Clockwerk,Crystal Maiden,Morphling,Viper
174,Elder Titan,Mirana,Void Spirit,Dragon Knight,Wraith King,Nature's Prophet,Earth Spirit,Vengeful Spirit,Visage,Magnus
175,Mirana,Clockwerk,Grimstroke,Ember Spirit,Riki,Tusk,Kunkka,Juggernaut,Shadow Demon,Mars
176,Clockwerk,Doom,Rubick,Troll Warlord,Night Stalker,Mirana,Spectre,Keeper of the Light,Pangolier,Void Spirit
177,Enchantress,Queen of Pain,Shadow Shaman,Tidehunter,Lifestealer,Clockwerk,Mirana,Spectre,Zeus,Pangolier
178,Grimstroke,Chaos Knight,Earth Spirit,Kunkka,Terrorblade,Vengeful Spirit,Tusk,Warlock,Sven,Venomancer
179,Vengeful Spirit,Mars,Tusk,Templar Assassin,Phantom Assassin,Oracle,Earth Spirit,Nature's Prophet,Magnus,Riki
180,Snapfire,Anti-Mage,Tusk,Puck,Pugna,Phoenix,Faceless Void,Slardar,Templar Assassin,Disruptor
181,Phoenix,Dragon Knight,Disruptor,Monkey King,Storm Spirit,Mirana,Ogre Magi,Legion Commander,Kunkka,Juggernaut
182,Dragon Knight,Mirana,Ogre Magi,Morphling,Venomancer,Queen of Pain,Treant Protector,Tiny,Visage,Ursa
183,Jakiro,Earth Spirit,Juggernaut,Enigma,Mars,Rubick,Bloodseeker,Oracle,Drow Ranger,Void Spirit
184,Phoenix,Pangolier,Invoker,Sven,Witch Doctor,Io,Centaur Warrunner,Grimstroke,Gyrocopter,Abaddon
185,Io,Elder Titan,Invoker,Faceless Void,Phoenix,Tiny,Dark Seer,Grimstroke,Clockwerk,Alchemist
186,Phoenix,Faceless Void,Elder Titan,Nature's Prophet,Wraith King,Doom,Snapfire,Grimstroke,Ember Spirit,Venomancer
187,Doom,Enchantress,Faceless Void,Arc Warden,Brewmaster,Rubick,Clockwerk,Viper,Slardar,Phantom Assassin
188,Snapfire,Dark Seer,Invoker,Lion,Meepo,Phoenix,Faceless Void,Disruptor,Pugna,Doom
189,Batrider,Disruptor,Tiny,Wraith King,Bounty Hunter,Faceless Void,Legion Commander,Enchantress,Mirana,Windranger
190,Mirana,Bane,Void Spirit,Sven,Legion Commander,Vengeful Spirit,Windranger,Mars,Elder Titan,Ursa
191,Phoenix,Batrider,Earth Spirit,Phantom Lancer,Necrophos,Clockwerk,Windranger,Disruptor,Lifestealer,Centaur Warrunner
192,Venomancer,Tiny,Nature's Prophet,Arc Warden,Windranger,Vengeful Spirit,Drow Ranger,Mirana,Underlord,Void Spirit
193,Magnus,Oracle,Rubick,Phantom Assassin,Brewmaster,Venomancer,Tidehunter,Vengeful Spirit,Terrorblade,Clockwerk
194,Phoenix,Clockwerk,Sand King,Slark,Leshrac,Vengeful Spirit,Terrorblade,Pangolier,Underlord,Windranger
195,Abaddon,Grimstroke,Sand King,Anti-Mage,Storm Spirit,Io,Gyrocopter,Tusk,Void Spirit,Templar Assassin
196,Abaddon,Oracle,Earthshaker,Leshrac,Faceless Void,Dark Seer,Crystal Maiden,Slark,Timbersaw,Ember Spirit
197,Grimstroke,Doom,Oracle,Spectre,Void Spirit,Clockwerk,Vengeful Spirit,Batrider,Morphling,Tidehunter
198,Abaddon,Crystal Maiden,Kunkka,Shadow Fiend,Drow Ranger,Tiny,Underlord,Io,Death Prophet,Arc Warden
199,Phoenix,Clockwerk,Invoker,Doom,Sven,Venomancer,Void Spirit,Tusk,Faceless Void,Templar Assassin
200,Faceless Void,Ancient Apparition,Rubick,Brewmaster,Storm Spirit,Abaddon,Io,Tusk,Beastmaster,Gyrocopter
201,Rubick,Legion Commander,Void Spirit,Ancient Apparition,Lifestealer,Abaddon,Batrider,Io,Shadow Fiend,Centaur Warrunner
202,Doom,Rubick,Grimstroke,Necrophos,Clinkz,Tiny,Magnus,Chen,Drow Ranger,Snapfire
203,Doom,Rubick,Abaddon,Arc Warden,Nature's Prophet,Venomancer,Tiny,Vengeful Spirit,Morphling,Shadow Fiend
204,Dark Seer,Crystal Maiden,Ember Spirit,Nature's Prophet,Wraith King,Doom,Oracle,Tiny,Queen of Pain,Phantom Lancer
205,Clockwerk,Void Spirit,Legion Commander,Gyrocopter,Jakiro,Chen,Anti-Mage,Tiny,Necrophos,Abaddon
206,Oracle,Spectre,Necrophos,Void Spirit,Razor,Clockwerk,Nature's Prophet,Chen,Invoker,Sven
207,Phoenix,Tusk,Ember Spirit,Riki,Sand King,Clockwerk,Dark Seer,Void Spirit,Snapfire,Morphling
208,Phoenix,Clockwerk,Timbersaw,Sven,Zeus,Tiny,Snapfire,Doom,Grimstroke,Ursa
209,Tiny,Oracle,Rubick,Queen of Pain,Weaver,Venomancer,Tusk,Pangolier,Sven,Dragon Knight
210,Doom,Snapfire,Nyx Assassin,Morphling,Legion Commander,Phoenix,Batrider,Tusk,Juggernaut,Shadow Fiend
211,Vengeful Spirit,Mirana,Oracle,Anti-Mage,Legion Commander,Phoenix,Batrider,Bane,Slardar,Riki
