,loss_1_name,loss_2_name,loss_3_name,loss_4_name,loss_5_name,win_1_name,win_2_name,win_3_name,win_4_name,win_5_name
30,Keeper of the Light,Bristleback,Tusk,Lone Druid,Slardar,Witch Doctor,Ember Spirit,Bane,Bounty Hunter,Troll Warlord
31,Pangolier,Riki,Lich,Shadow Fiend,Crystal Maiden,Rubick,Mars,Chen,Bloodseeker,Queen of Pain
32,Earth Spirit,Spirit Breaker,Pugna,Ursa,Necrophos,Earthshaker,Timbersaw,Oracle,Lycan,Storm Spirit
33,Shadow Demon,Bounty Hunter,Brewmaster,Naga Siren,Shadow Fiend,Keeper of the Light,Rubick,Beastmaster,Phantom Assassin,Queen of Pain
34,Ember Spirit,Grimstroke,Void Spirit,Weaver,Naga Siren,Keeper of the Light,Shadow Demon,Abaddon,Dragon Knight,Spectre
35,Oracle,Troll Warlord,Phoenix,Beastmaster,Queen of Pain,Rubick,Death Prophet,Ogre Magi,Monkey King,Centaur Warrunner
36,Shadow Demon,Ember Spirit,Snapfire,Centaur Warrunner,Gyrocopter,Chen,Void Spirit,Lion,Abaddon,Alchemist
37,Enchantress,Tusk,Void Spirit,Nature's Prophet,Lina,Shadow Demon,Mars,Phoenix,Lone Druid,Bristleback
38,Bristleback,Void Spirit,Shadow Demon,Jakiro,Doom,Tusk,Enchantress,Necrophos,Ember Spirit,Phantom Assassin
39,Bristleback,Keeper of the Light,Shadow Demon,Ember Spirit,Lycan,Pugna,Snapfire,Void Spirit,Brewmaster,Terrorblade
40,Mars,Rubick,Lich,Slark,Ember Spirit,Earthshaker,Enchantress,Troll Warlord,Batrider,Necrophos
41,Mars,Earthshaker,Enchantress,Monkey King,Medusa,Lycan,Snapfire,Rubick,Pangolier,Queen of Pain
42,Pangolier,Grimstroke,Riki,Nature's Prophet,Dark Seer,Mars,Rubick,Snapfire,Queen of Pain,Spectre
43,Death Prophet,Clockwerk,Bane,Anti-Mage,Ember Spirit,Clinkz,Void Spirit,Keeper of the Light,Sand King,Troll Warlord
44,Death Prophet,Shadow Demon,Elder Titan,Spectre,Ember Spirit,Mirana,Luna,Ogre Magi,Void Spirit,Sand King
45,Vengeful Spirit,Mirana,Shadow Demon,Enigma,Gyrocopter,Death Prophet,Earthshaker,Jakiro,Ember Spirit,Spectre
46,Ember Spirit,Keeper of the Light,Clockwerk,Chen,Wraith King,Nature's Prophet,Earthshaker,Bane,Necrophos,Queen of Pain
47,Nature's Prophet,Clockwerk,Abaddon,Storm Spirit,Mars,Earthshaker,Witch Doctor,Batrider,Lycan,Riki
48,Phoenix,Ursa,Jakiro,Storm Spirit,Spirit Breaker,Clinkz,Void Spirit,Witch Doctor,Pangolier,Morphling
49,Enchantress,Ursa,Ember Spirit,Necrophos,Centaur Warrunner,Clinkz,Pangolier,Witch Doctor,Storm Spirit,Morphling
50,Beastmaster,Weaver,Clockwerk,Bristleback,Bloodseeker,Enchantress,Kunkka,Rubick,Troll Warlord,Legion Commander
51,Nature's Prophet,Windranger,Witch Doctor,Spectre,Kunkka,Ursa,Keeper of the Light,Clockwerk,Pangolier,Broodmother
52,Queen of Pain,Pangolier,Keeper of the Light,Dragon Knight,Spectre,Nature's Prophet,Witch Doctor,Kunkka,Windranger,Ursa
53,Ember Spirit,Lycan,Snapfire,Necrophos,Leshrac,Nature's Prophet,Rubick,Winter Wyvern,Mars,Monkey King
54,Witch Doctor,Centaur Warrunner,Ancient Apparition,Invoker,Morphling,Death Prophet,Earthshaker,Io,Monkey King,Void Spirit
55,Ember Spirit,Jakiro,Pangolier,Riki,Legion Commander,Nature's Prophet,Rubick,Clockwerk,Void Spirit,Ursa
56,Luna,Witch Doctor,Nature's Prophet,Earth Spirit,Razor,Enchantress,Earthshaker,Void Spirit,Enigma,Troll Warlord
57,Queen of Pain,Beastmaster,Jakiro,Riki,Void Spirit,Nature's Prophet,Earthshaker,Winter Wyvern,Puck,Bristleback
58,Dragon Knight,Sniper,Ogre Magi,Legion Commander,Spectre,Witch Doctor,Ember Spirit,Tusk,Winter Wyvern,Troll Warlord
59,Nature's Prophet,Earthshaker,Ancient Apparition,Invoker,Alchemist,Death Prophet,Winter Wyvern,Clinkz,Spectre,Void Spirit
60,Shadow Demon,Legion Commander,Earthshaker,Ancient Apparition,Spectre,Void Spirit,Winter Wyvern,Grimstroke,Morphling,Lycan
61,Snapfire,Shadow Demon,Kunkka,Timbersaw,Naga Siren,Death Prophet,Earthshaker,Weaver,Nature's Prophet,Necrophos
62,Queen of Pain,Treant Protector,Puck,Abaddon,Bristleback,Ember Spirit,Rubick,Chen,Beastmaster,Morphling
63,Earthshaker,Beastmaster,Ancient Apparition,Gyrocopter,Timbersaw,Leshrac,Dragon Knight,Winter Wyvern,Tusk,Queen of Pain
64,Chen,Kunkka,Dark Willow,Abaddon,Phantom Assassin,Mirana,Winter Wyvern,Tusk,Necrophos,Naga Siren
65,Death Prophet,Earthshaker,Undying,Weaver,Storm Spirit,Shadow Demon,Mirana,Clockwerk,Batrider,Luna
66,Phoenix,Legion Commander,Lich,Storm Spirit,Nature's Prophet,Beastmaster,Weaver,Undying,Enigma,Nyx Assassin
67,Keeper of the Light,Ember Spirit,Clockwerk,Nature's Prophet,Bristleback,Phoenix,Mars,Bounty Hunter,Morphling,Broodmother
68,Mars,Mirana,Ursa,Oracle,Leshrac,Phoenix,Bane,Doom,Visage,Puck
69,Vengeful Spirit,Batrider,Earth Spirit,Naga Siren,Winter Wyvern,Mars,Shadow Demon,Mirana,Lycan,Anti-Mage
70,Earthshaker,Nature's Prophet,Necrophos,Lifestealer,Void Spirit,Vengeful Spirit,Tiny,Spectre,Invoker,Batrider
71,Skywrath Mage,Legion Commander,Ogre Magi,Phantom Lancer,Viper,Queen of Pain,Phoenix,Bane,Anti-Mage,Pangolier
72,Shadow Demon,Mirana,Dragon Knight,Ursa,Centaur Warrunner,Phoenix,Ogre Magi,Void Spirit,Doom,Slark
73,Queen of Pain,Earthshaker,Witch Doctor,Monkey King,Batrider,Dragon Knight,Enchantress,Rubick,Brewmaster,Lifestealer
74,Centaur Warrunner,Rubick,Monkey King,Silencer,Sniper,Earthshaker,Disruptor,Ursa,Nature's Prophet,Shadow Fiend
75,Phoenix,Ogre Magi,Riki,Dragon Knight,Venomancer,Silencer,Mars,Shadow Shaman,Ursa,Lycan
76,Vengeful Spirit,Phoenix,Mars,Shadow Fiend,Slardar,Enchantress,Earthshaker,Centaur Warrunner,Riki,Sniper
77,Pangolier,Dragon Knight,Keeper of the Light,Night Stalker,Disruptor,Grimstroke,Queen of Pain,Tusk,Troll Warlord,Doom
78,Mars,Mirana,Oracle,Dragon Knight,Monkey King,Queen of Pain,Earthshaker,Lich,Phantom Lancer,Batrider
79,Queen of Pain,Earthshaker,Ursa,Templar Assassin,Lion,Abaddon,Rubick,Puck,Mars,Troll Warlord
80,Vengeful Spirit,Dragon Knight,Phoenix,Lycan,Nature's Prophet,Earthshaker,Queen of Pain,Lich,Doom,Sven
81,Shadow Demon,Centaur Warrunner,Ember Spirit,Phoenix,Ursa,Vengeful Spirit,Tusk,Monkey King,Queen of Pain,Tidehunter
82,Mars,Disruptor,Clockwerk,Terrorblade,Lina,Treant Protector,Shadow Shaman,Death Prophet,Batrider,Naga Siren
83,Ember Spirit,Lich,Clinkz,Venomancer,Tidehunter,Void Spirit,Keeper of the Light,Skywrath Mage,Mars,Phantom Lancer
84,Ember Spirit,Lich,Lina,Lycan,Nature's Prophet,Oracle,Death Prophet,Earthshaker,Centaur Warrunner,Sven
85,Keeper of the Light,Bristleback,Void Spirit,Shadow Shaman,Sven,Vengeful Spirit,Silencer,Mars,Phantom Lancer,Necrophos
86,Treant Protector,Puck,Tiny,Weaver,Bristleback,Tusk,Vengeful Spirit,Luna,Beastmaster,Viper
87,Lich,Mirana,Kunkka,Troll Warlord,Abaddon,Clockwerk,Grimstroke,Ember Spirit,Venomancer,Slark
88,Dazzle,Lich,Earthshaker,Ember Spirit,Dragon Knight,Chen,Void Spirit,Tusk,Phantom Lancer,Necrophos
89,Lich,Ember Spirit,Grimstroke,Doom,Troll Warlord,Keeper of the Light,Bristleback,Nyx Assassin,Ursa,Invoker
90,Phoenix,Beastmaster,Disruptor,Necrophos,Invoker,Treant Protector,Enchantress,Void Spirit,Phantom Lancer,Lina
91,Treant Protector,Ember Spirit,Mirana,Tidehunter,Nature's Prophet,Beastmaster,Phoenix,Void Spirit,Oracle,Monkey King
92,Bane,Skywrath Mage,Troll Warlord,Tidehunter,Anti-Mage,Keeper of the Light,Ember Spirit,Tusk,Batrider,Templar Assassin
93,Abaddon,Rubick,Centaur Warrunner,Drow Ranger,Razor,Treant Protector,Phoenix,Monkey King,Templar Assassin,Beastmaster
94,Centaur Warrunner,Lich,Skywrath Mage,Ursa,Razor,Treant Protector,Disruptor,Monkey King,Beastmaster,Templar Assassin
95,Grimstroke,Pangolier,Razor,Rubick,Gyrocopter,Lich,Troll Warlord,Venomancer,Leshrac,Beastmaster
96,Ember Spirit,Shadow Shaman,Vengeful Spirit,Arc Warden,Tidehunter,Oracle,Void Spirit,Terrorblade,Mars,Rubick
97,Grimstroke,Shadow Shaman,Legion Commander,Morphling,Sniper,Mars,Disruptor,Abaddon,Terrorblade,Void Spirit
98,Pangolier,Rubick,Lina,Ogre Magi,Slark,Grimstroke,Void Spirit,Tusk,Batrider,Troll Warlord
99,Rubick,Centaur Warrunner,Lich,Riki,Puck,Grimstroke,Clockwerk,Mars,Lycan,Queen of Pain
100,Shadow Demon,Death Prophet,Earthshaker,Lone Druid,Alchemist,Grimstroke,Pangolier,Shadow Shaman,Phantom Lancer,Razor
101,Death Prophet,Oracle,Clockwerk,Ember Spirit,Venomancer,Lich,Clinkz,Void Spirit,Ursa,Earthshaker
102,Ember Spirit,Oracle,Pangolier,Nature's Prophet,Troll Warlord,Legion Commander,Skywrath Mage,Treant Protector,Morphling,Monkey King
103,Ember Spirit,Grimstroke,Pangolier,Venomancer,Medusa,Legion Commander,Skywrath Mage,Chen,Faceless Void,Lina
104,Beastmaster,Mirana,Lich,Kunkka,Monkey King,Enchantress,Void Spirit,Rubick,Mars,Terrorblade
105,Keeper of the Light,Ember Spirit,Clockwerk,Monkey King,Pugna,Grimstroke,Legion Commander,Dragon Knight,Skywrath Mage,Morphling
106,Oracle,Ember Spirit,Beastmaster,Riki,Zeus,Grimstroke,Rubick,Pangolier,Terrorblade,Dazzle
107,Bane,Void Spirit,Skywrath Mage,Legion Commander,Faceless Void,Pangolier,Shadow Demon,Mirana,Monkey King,Ember Spirit
108,Keeper of the Light,Void Spirit,Tusk,Beastmaster,Terrorblade,Shadow Demon,Nyx Assassin,Templar Assassin,Lycan,Dark Seer
109,Oracle,Rubick,Legion Commander,Phantom Lancer,Huskar,Grimstroke,Tusk,Clockwerk,Monkey King,Underlord
110,Grimstroke,Nyx Assassin,Timbersaw,Gyrocopter,Lina,Pangolier,Bane,Monkey King,Rubick,Razor
111,Pangolier,Dazzle,Warlock,Tidehunter,Lina,Ember Spirit,Grimstroke,Shadow Shaman,Underlord,Templar Assassin
112,Tusk,Oracle,Batrider,Ursa,Pugna,Lich,Dragon Knight,Earthshaker,Slark,Ember Spirit
113,Void Spirit,Chen,Phoenix,Alchemist,Legion Commander,Lich,Tusk,Dazzle,Phantom Lancer,Kunkka
114,Tiny,Timbersaw,Pugna,Queen of Pain,Faceless Void,Tusk,Keeper of the Light,Monkey King,Clockwerk,Viper
115,Grimstroke,Rubick,Mars,Riki,Huskar,Void Spirit,Keeper of the Light,Tusk,Bounty Hunter,Ursa
116,Jakiro,Mars,Sniper,Phantom Lancer,Pugna,Bane,Rubick,Legion Commander,Alchemist,Queen of Pain
117,Keeper of the Light,Ember Spirit,Nyx Assassin,Centaur Warrunner,Bristleback,Void Spirit,Bane,Skywrath Mage,Legion Commander,Ursa
118,Lich,Lycan,Clockwerk,Dragon Knight,Enigma,Centaur Warrunner,Oracle,Earthshaker,Queen of Pain,Monkey King
119,Lich,Ursa,Earthshaker,Clockwerk,Leshrac,Centaur Warrunner,Rubick,Bane,Troll Warlord,Queen of Pain
120,Keeper of the Light,Bristleback,Pugna,Legion Commander,Shadow Fiend,Centaur Warrunner,Shadow Demon,Lich,Ember Spirit,Faceless Void
121,Keeper of the Light,Tusk,Monkey King,Storm Spirit,Dazzle,Sniper,Centaur Warrunner,Lich,Queen of Pain,Troll Warlord
122,Ember Spirit,Jakiro,Windranger,Axe,Nature's Prophet,Ancient Apparition,Tusk,Omniknight,Monkey King,Queen of Pain
123,Void Spirit,Chen,Skywrath Mage,Ursa,Doom,Ember Spirit,Ogre Magi,Mirana,Axe,Visage
124,Mars,Abaddon,Storm Spirit,Ursa,Clinkz,Shadow Demon,Mirana,Monkey King,Night Stalker,Morphling
125,Treant Protector,Monkey King,Disruptor,Mars,Visage,Rubick,Centaur Warrunner,Ogre Magi,Luna,Viper
126,Clockwerk,Venomancer,Brewmaster,Lina,Terrorblade,Grimstroke,Ember Spirit,Rubick,Centaur Warrunner,Phantom Lancer
127,Nyx Assassin,Ursa,Winter Wyvern,Centaur Warrunner,Puck,Rubick,Mars,Lycan,Grimstroke,Ember Spirit
128,Earthshaker,Enchantress,Spectre,Timbersaw,Storm Spirit,Disruptor,Dragon Knight,Rubick,Tidehunter,Anti-Mage
129,Earthshaker,Death Prophet,Silencer,Clinkz,Nature's Prophet,Phoenix,Treant Protector,Beastmaster,Luna,Templar Assassin
130,Shadow Demon,Dragon Knight,Nyx Assassin,Pugna,Lone Druid,Earthshaker,Queen of Pain,Bane,Monkey King,Spectre
131,Phoenix,Pangolier,Bane,Morphling,Invoker,Grimstroke,Clinkz,Ember Spirit,Ursa,Queen of Pain
132,Nature's Prophet,Tusk,Keeper of the Light,Ember Spirit,Spectre,Treant Protector,Dragon Knight,Mirana,Pangolier,Monkey King
133,Phoenix,Oracle,Monkey King,Kunkka,Clockwerk,Grimstroke,Ember Spirit,Centaur Warrunner,Lina,Ursa
134,Vengeful Spirit,Tusk,Venomancer,Terrorblade,Viper,Earthshaker,Grimstroke,Dazzle,Lycan,Broodmother
135,Shadow Demon,Dragon Knight,Kunkka,Rubick,Terrorblade,Vengeful Spirit,Beastmaster,Phoenix,Ursa,Dazzle
136,Grimstroke,Pangolier,Death Prophet,Mirana,Templar Assassin,Mars,Phoenix,Shadow Demon,Luna,Queen of Pain
137,Dragon Knight,Silencer,Nyx Assassin,Morphling,Brewmaster,Oracle,Ember Spirit,Vengeful Spirit,Medusa,Kunkka
138,Rubick,Lich,Beastmaster,Juggernaut,Outworld Devourer,Centaur Warrunner,Phoenix,Kunkka,Terrorblade,Vengeful Spirit
139,Grimstroke,Ember Spirit,Earthshaker,Timbersaw,Templar Assassin,Tusk,Mars,Disruptor,Kunkka,Slark
140,Lich,Tiny,Gyrocopter,Enigma,Storm Spirit,Tusk,Grimstroke,Pangolier,Morphling,Ember Spirit
141,Oracle,Ember Spirit,Death Prophet,Shadow Shaman,Arc Warden,Mars,Phoenix,Vengeful Spirit,Medusa,Beastmaster
142,Grimstroke,Ember Spirit,Clinkz,Pangolier,Anti-Mage,Tusk,Oracle,Vengeful Spirit,Medusa,Kunkka
143,Pangolier,Grimstroke,Chen,Ursa,Storm Spirit,Tusk,Centaur Warrunner,Vengeful Spirit,Viper,Terrorblade
144,Lich,Void Spirit,Mars,Phoenix,Anti-Mage,Grimstroke,Tusk,Ember Spirit,Pangolier,Phantom Lancer
145,Pangolier,Phoenix,Witch Doctor,Void Spirit,Gyrocopter,Dragon Knight,Earthshaker,Lich,Ember Spirit,Razor
146,Ancient Apparition,Beastmaster,Tusk,Death Prophet,Anti-Mage,Mars,Mirana,Lich,Phantom Lancer,Queen of Pain
147,Mars,Silencer,Ember Spirit,Shadow Shaman,Templar Assassin,Oracle,Tusk,Monkey King,Underlord,Morphling
148,Grimstroke,Mars,Disruptor,Juggernaut,Storm Spirit,Ember Spirit,Lich,Earthshaker,Venomancer,Anti-Mage
149,Ember Spirit,Grimstroke,Rubick,Beastmaster,Phantom Lancer,Mars,Shadow Demon,Mirana,Terrorblade,Void Spirit
150,Grimstroke,Rubick,Dragon Knight,Riki,Mars,Centaur Warrunner,Lich,Phoenix,Faceless Void,Zeus
151,Grimstroke,Mars,Disruptor,Monkey King,Void Spirit,Rubick,Centaur Warrunner,Lich,Riki,Templar Assassin
152,Shadow Demon,Clockwerk,Storm Spirit,Lycan,Enigma,Elder Titan,Disruptor,Riki,Dragon Knight,Naga Siren
153,Keeper of the Light,Dragon Knight,Phoenix,Phantom Lancer,Queen of Pain,Ember Spirit,Oracle,Tusk,Beastmaster,Leshrac
154,Grimstroke,Void Spirit,Rubick,Troll Warlord,Omniknight,Ember Spirit,Snapfire,Night Stalker,Ursa,Storm Spirit
155,Keeper of the Light,Earthshaker,Wraith King,Venomancer,Shadow Fiend,Ember Spirit,Grimstroke,Doom,Tidehunter,Sniper
156,Lich,Centaur Warrunner,Tusk,Morphling,Templar Assassin,Shadow Demon,Nyx Assassin,Gyrocopter,Nature's Prophet,Void Spirit
157,Ember Spirit,Lich,Nyx Assassin,Legion Commander,Troll Warlord,Keeper of the Light,Bristleback,Rubick,Ursa,Storm Spirit
158,Ember Spirit,Phoenix,Clockwerk,Beastmaster,Riki,Keeper of the Light,Nyx Assassin,Legion Commander,Morphling,Queen of Pain
159,Grimstroke,Void Spirit,Bane,Storm Spirit,Terrorblade,Pangolier,Lich,Earthshaker,Riki,Templar Assassin
160,Earthshaker,Queen of Pain,Witch Doctor,Anti-Mage,Kunkka,Vengeful Spirit,Luna,Clockwerk,Necrophos,Ember Spirit
161,Techies,Spectre,Warlock,Storm Spirit,Centaur Warrunner,Axe,Phoenix,Chen,Lifestealer,Viper
162,Enigma,Earth Spirit,Enchantress,Riki,Zeus,Phoenix,Mars,Bane,Phantom Lancer,Lina
163,Phoenix,Timbersaw,Vengeful Spirit,Luna,Viper,Dragon Knight,Grimstroke,Mirana,Queen of Pain,Weaver
164,Oracle,Earth Spirit,Queen of Pain,Batrider,Faceless Void,Phoenix,Mars,Vengeful Spirit,Weaver,Mirana
165,Witch Doctor,Earthshaker,Ember Spirit,Dazzle,Slark,Nature's Prophet,Clockwerk,Dark Willow,Luna,Legion Commander
166,Grimstroke,Earth Spirit,Dragon Knight,Bloodseeker,Venomancer,Io,Pangolier,Riki,Ursa,Windranger
167,Medusa,Vengeful Spirit,Kunkka,Rubick,Invoker,Witch Doctor,Beastmaster,Earthshaker,Viper,Ember Spirit
168,Death Prophet,Queen of Pain,Rubick,Witch Doctor,Underlord,Dragon Knight,Grimstroke,Nature's Prophet,Riki,Ember Spirit
169,Sniper,Batrider,Spirit Breaker,Lifestealer,Ancient Apparition,Dragon Knight,Nyx Assassin,Jakiro,Morphling,Weaver
170,Pangolier,Enigma,Ancient Apparition,Riki,Spectre,Earthshaker,Dragon Knight,Grimstroke,Kunkka,Luna
171,Bane,Rubick,Void Spirit,Troll Warlord,Axe,Shadow Demon,Queen of Pain,Centaur Warrunner,Grimstroke,Bloodseeker
172,Queen of Pain,Beastmaster,Dark Willow,Lycan,Batrider,Bane,Kunkka,Winter Wyvern,Juggernaut,Tidehunter
173,Oracle,Rubick,Mars,Templar Assassin,Troll Warlord,Tusk,Weaver,Enchantress,Void Spirit,Slark
174,Kunkka,Phoenix,Grimstroke,Death Prophet,Weaver,Queen of Pain,Bane,Earth Spirit,Troll Warlord,Brewmaster
175,Earthshaker,Death Prophet,Enchantress,Luna,Enigma,Dragon Knight,Phoenix,Grimstroke,Brewmaster,Juggernaut
176,Phoenix,Death Prophet,Vengeful Spirit,Legion Commander,Morphling,Earthshaker,Oracle,Beastmaster,Luna,Leshrac
177,Queen of Pain,Chen,Rubick,Axe,Slark,Earthshaker,Witch Doctor,Kunkka,Morphling,Venomancer
178,Queen of Pain,Bane,Mirana,Kunkka,Anti-Mage,Earthshaker,Chen,Puck,Necrophos,Spectre
179,Enchantress,Earthshaker,Batrider,Morphling,Necrophos,Phoenix,Axe,Grimstroke,Weaver,Lone Druid
180,Death Prophet,Chen,Earth Spirit,Faceless Void,Nature's Prophet,Shadow Demon,Pangolier,Morphling,Grimstroke,Broodmother
181,Void Spirit,Shadow Demon,Elder Titan,Mars,Morphling,Grimstroke,Magnus,Rubick,Riki,Beastmaster
182,Nature's Prophet,Earthshaker,Enchantress,Troll Warlord,Batrider,Phoenix,Axe,Chen,Lycan,Storm Spirit
183,Nature's Prophet,Bane,Pangolier,Morphling,Bristleback,Shadow Demon,Centaur Warrunner,Oracle,Ember Spirit,Templar Assassin
184,Shadow Demon,Centaur Warrunner,Vengeful Spirit,Dragon Knight,Naga Siren,Nature's Prophet,Bane,Earth Spirit,Slark,Batrider
185,Ogre Magi,Winter Wyvern,Timbersaw,Riki,Razor,Shadow Demon,Centaur Warrunner,Oracle,Huskar,Queen of Pain
186,Rubick,Mars,Ancient Apparition,Chaos Knight,Void Spirit,Ogre Magi,Winter Wyvern,Morphling,Beastmaster,Queen of Pain
187,Rubick,Centaur Warrunner,Chen,Leshrac,Slark,Grimstroke,Pugna,Axe,Kunkka,Monkey King
188,Phoenix,Beastmaster,Ogre Magi,Viper,Sven,Nature's Prophet,Pangolier,Crystal Maiden,Bristleback,Morphling
189,Nature's Prophet,Elder Titan,Vengeful Spirit,Pugna,Phantom Lancer,Chen,Death Prophet,Winter Wyvern,Centaur Warrunner,Riki
190,Oracle,Troll Warlord,Clockwerk,Centaur Warrunner,Templar Assassin,Phoenix,Death Prophet,Lich,Timbersaw,Faceless Void
191,Shadow Demon,Centaur Warrunner,Clinkz,Troll Warlord,Broodmother,Chen,Death Prophet,Spirit Breaker,Dragon Knight,Slark
192,Pugna,Void Spirit,Winter Wyvern,Pangolier,Juggernaut,Mars,Rubick,Chen,Queen of Pain,Anti-Mage
193,Pangolier,Grimstroke,Dark Seer,Riki,Monkey King,Phoenix,Mars,Bane,Bloodseeker,Dragon Knight
194,Keeper of the Light,Dragon Knight,Enchantress,Riki,Brewmaster,Beastmaster,Ember Spirit,Ancient Apparition,Mirana,Meepo
195,Oracle,Tusk,Bristleback,Death Prophet,Mars,Ancient Apparition,Pangolier,Mirana,Enigma,Slark
196,Oracle,Bristleback,Treant Protector,Leshrac,Batrider,Chen,Tusk,Necrophos,Shadow Fiend,Abaddon
197,Oracle,Ember Spirit,Mirana,Huskar,Dragon Knight,Io,Mars,Chen,Bristleback,Lina
198,Earthshaker,Queen of Pain,Chen,Spectre,Razor,Ember Spirit,Oracle,Mirana,Dragon Knight,Lone Druid
199,Mars,Grimstroke,Shadow Shaman,Riki,Zeus,Rubick,Pangolier,Ursa,Jakiro,Invoker
200,Earthshaker,Nature's Prophet,Lycan,Templar Assassin,Disruptor,Phoenix,Clockwerk,Lich,Anti-Mage,Viper
201,Shadow Demon,Mars,Lina,Ursa,Puck,Tiny,Nature's Prophet,Oracle,Spectre,Templar Assassin
202,Nyx Assassin,Nature's Prophet,Timbersaw,Troll Warlord,Winter Wyvern,Shadow Demon,Lycan,Rubick,Batrider,Monkey King
203,Earthshaker,Dazzle,Disruptor,Outworld Devourer,Ursa,Clockwerk,Arc Warden,Troll Warlord,Brewmaster,Viper
204,Puck,Earthshaker,Nature's Prophet,Bane,Kunkka,Queen of Pain,Rubick,Elder Titan,Beastmaster,Spectre
205,Nyx Assassin,Morphling,Lich,Ursa,Dazzle,Ember Spirit,Keeper of the Light,Rubick,Brewmaster,Templar Assassin
206,Oracle,Rubick,Centaur Warrunner,Kunkka,Phantom Assassin,Nature's Prophet,Nyx Assassin,Lycan,Shadow Demon,Monkey King
